name,location
akibacomics,홍대정문
아키바코믹스,아키바코믹스
원피스 1~109,책장 1-6
주술회전 1~27권,책장 1-3
아쿠아맨(1~10완) [웹툰],책장 9-6
우리집에서밥먹고갈래요(1~6완) [웹툰],책장 9-6
이상하고아름다운(1~9완) [웹툰],책장 9-6
이십툰(단편)[웹툰],책장 9-6
나혼자만레벨업 1~13권,책장 7-1
전지적독자시점 1~10권,책장 7-1
데뷔 못 하면 죽는 병 걸림,책장 7-1
가비지타임 1~20권,1층 키오스크 옆
마슐 mashle 1~18권(완),책장 1-1
괴수8호 1~13권(2세트),1층(세트1)/1-1(세트2)
H2 에이치투(1~17완) 소장판,책장 2-2
윈드브레이커 1~2권,1층 키오스크 옆
아오하라이드 1~13권(완),책장 8-13
너에게 닿기를 1~30권(완),책장 8-15
슬램덩크 1~31권(완),책장 2-1
하이큐(1-45)완,책장 2-1
렛츠!하이큐?! (1-11),책장 2-1
명탐정 코난 범인 한자와 씨 1~8권,책장 5-1
기븐 -given- 1~9권,책장 8-11
독점 마이 히어로 1~14권,책장 8-11
30살까지 동정이면 마법사가 될 수 있대 1~13권,책장 8-11
Happy해피 1~23권(완),책장 2-5
가라오케 가자!,1층
패밀리 레스토랑 가자,1층
절대 BL이 되는 세계 vs 절대 BL이 되고 싶지 않은 남자 1~3권,책장 8-11
"타시로, 너란 녀석은 1~4권",책장 8-11
동급생/졸업생 (1-3),책장 8-11
blanc 1~2권,책장 8-11
home 홈,책장 8-11
O.B 1~2권,책장 8-11
소라와 하라,책장 8-11
스킵과 로퍼1~9권,1층
MIX믹스(1~21),책장 2-2
유루캠(1~16권),책장 1-5
월드트리거 1~26,책장 1-2
던전밥 (1-14완),책장 1-1
골든카무이 1~31권(완),책장 6-2
내세에는 남남이 좋겠어 (1-8권),1층
히카루가 죽은 여름,1층
쟈건 1~14권,책장 5-2
모브사이코100 1~16완,책장 1-1
서뱀프 SERVAMP 1~21권,책장 1-4
DP 1~4권,책장 7-1
Q앤드A (1~6완),책장 2-2
치하야후루 1~50권(완),책장 8-14
카드캡터 체리 1~12권,책장 8-14
다이아몬드에이스 1~47완,책장 2-4
XXX홀릭 1~19권,책장 8-16
히비키 소설가가되는방법 1~8권,책장 4-3
줄무늬고양이코우메 1~15권,책장 4-5
도박묵시록 카이지 1~39권,책장 6-7
오메가 트라이브 1~14권,책장 5-3
사이코메트러 에지 1~12권(완결),책장 5-4
몬스터 MONSTER 1~18권,책장 5-5
미유키 1~12권(완),책장 2-2
배틀로얄 1~15권(완),책장 5-3
다우트 Doubt 1~4권,책장 5-2
레인보우 2사6방의7인 1~22권,책장 6-2
우리옆집사모님 1~14권,책장 7-8
결혼반지이야기 1~8권,책장 3-1
식객2부 1~3권,책장 4-4
이토준지의 고양이일기 욘무 단편,책장 5-7
문호스트레이독스 1~24,책장 1-2
극주부도,1층
소라의 날개 1~50권,책장 2-4
달빛천사 1~4권(완),책장 8-14
나와행복한결혼,1층
황천의츠가이 1~5권,책장 7-7
도원암귀 1~19권,책장 1-2
사이키쿠스오의재난 1~26완,01월 02일
사카모토입니다만 1~4완,01월 02일
슈가슈가룬 1~8권,책장 8-14
지옥락 1~13완,책장 1-2
파이어펀치 1~8완,책장 1-7
화산귀환1~7권,1층
크로스게임 소장판 1~9권(완),책장 2-2
sss급죽어야사는헌터,책장 7-1
오디션 1~10권(완),책장 8-7
메이저 1~47완,책장 2-5
라이어게임 1~19권 + 라이어 게임 카이타니 시노부 단편집,책장 5-3
이누야샤 견야차 1~56권(완),책장 3-4
도로헤도로 1~23권(완) + 올스타,책장 5-7
우리들이 있었다 1~16권(완),책장 8-4
심청 1~12권(완),책장 8-7
백귀야행 1~30권,책장 8-6
바라카몬 1~19권,책장 4-3
터치 애장판 1~11권(완),책장 2-2
불꽃소방대 1~34권,책장 1-5
마왕성에서 잘자요 1~25권,책장 3-1
전설의 용자의 전설 1~9완,책장 3-1
극락가,1층
토리코 1~43권(완),책장 4-1
식극의 소마 1~36완,책장 4-4
렛츠고 이나중 탁구부 1~13권(완),책장 2-7
고고한 사람 1~17완,책장 4-7
우루쿠모,05월 03일
플루토 1~18완,책장 5-5
아오이자카야구부 1~11권 완,책장 2-2
ADAMAS 1~11권,책장 5-5
천국대마경 1~9권,책장 1-1
베르세르크 1~42권,책장 5-3
켄간아슈라 1~24권,책장 6-5
가정교사 히트맨 리본 1~42권(완),책장 3-2
불멸의 그대에게 1~21권,책장 1-4
봉신연의 1~23완,03월 06일
쓰레기의 본망 1~9권 완,책장 7-10
완벽한 허니문,09월 03일
귀멸의칼날 1~23권(완),책장 1-3
카구야님은 고백받고 싶어 1~25권 완,책장 7-10
카구야님을 이야기하고 싶어 1~6권,책장 7-10
늑대소녀와 흑왕자 1~16권(완),책장 8-1
꽃보다 남자 1~20권(완),책장 8-15
허니와 클로버 1~10권(완),책장 8-13
